name,email,annual_revenue,plan_type,tenure_months,monthly_charges,has_dedicated_csm,csm_name,csm_email,days_since_last_login,events_per_month_trend,support_ticket_velocity,churn_probability,risk_tier,churn_drivers,intervention_status
NovaSeat-7590-VHVEG,7590-vhveg@example.com,358.2,Starter,1,29.85,False,,,11,Increasing,0.62,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-5575-GNVDE,5575-gnvde@example.com,683.4,Pro,34,56.95,False,,,2,Stable,1.45,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.8655}, {""driver"": ""days_since_last_login"", ""impact"": -0.8532}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-3668-QPYBK,3668-qpybk@example.com,646.2,Starter,2,53.85,False,,,86,Declining,2.65,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-7795-CFOCW,7795-cfocw@example.com,507.6,Pro,45,42.3,True,,,21,Increasing,1.44,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.8655}, {""driver"": ""days_since_last_login"", ""impact"": -0.8532}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-9237-HQITU,9237-hqitu@example.com,848.4,Starter,2,70.7,False,,,35,Declining,3.56,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-9305-CDSKC,9305-cdskc@example.com,1195.8,Starter,8,99.65,False,,,89,Declining,3.4,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-1452-KIOVK,1452-kiovk@example.com,1069.2,Starter,22,89.1,False,,,15,Stable,1.41,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-6713-OKOMC,6713-okomc@example.com,357.0,Starter,10,29.75,False,,,6,Increasing,0.64,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-7892-POOKP,7892-pookp@example.com,1257.6,Starter,28,104.8,True,,,17,Declining,2.37,0.9995,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 8.2063}, {""driver"": ""days_since_last_login"", ""impact"": -0.8376}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-6388-TABGU,6388-tabgu@example.com,673.8,Pro,62,56.15,False,,,17,Increasing,0.75,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-9763-GRSKD,9763-grskd@example.com,599.4,Starter,13,49.95,False,,,24,Increasing,0.74,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9367}, {""driver"": ""days_since_last_login"", ""impact"": -0.8214}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-7469-LKBCI,7469-lkbci@example.com,227.4,Enterprise,16,18.95,False,,,12,Stable,0.81,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-8091-TTVAX,8091-ttvax@example.com,1204.2,Pro,58,100.35,False,,,20,Increasing,1.08,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-0280-XJGEX,0280-xjgex@example.com,1244.4,Starter,49,103.7,False,,,52,Declining,3.08,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-5129-JLPIS,5129-jlpis@example.com,1266.0,Starter,25,105.5,True,,,9,Stable,0.88,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
